code,group1,group2,description
X17,accidental,accidental,Contact with hot engines machinery and tools
X18,accidental,accidental,Contact with other hot metals
X19,accidental,accidental,Contact with other and unspecified heat and hot substances
X20,accidental,accidental,Contact with venomous snakes and lizards
X21,accidental,accidental,Contact with venomous spiders
X22,accidental,accidental,Contact with scorpions
X23,accidental,accidental,Contact with hornets wasps and bees
X24,accidental,accidental,Contact with centipedes and venomous millipedes (tropical)
X25,accidental,accidental,Contact with other venomous arthropods
X26,accidental,accidental,Contact with venomous marine animals and plants
X27,accidental,accidental,Contact with other specified venomous animals
X28,accidental,accidental,Contact with other specified venomous plants
X29,accidental,accidental,Contact with unspecified venomous animal or plant
X30,accidental,accidental,Exposure to excessive natural heat
X31,accidental,accidental,Exposure to excessive natural cold
X32,accidental,accidental,Exposure to sunlight
X33,accidental,accidental,Victim of lightning
X34,accidental,accidental,Victim of earthquake
X35,accidental,accidental,Victim of volcanic eruption
X36,accidental,accidental,Victim of avalanche landslide and other earth movements
X37,accidental,accidental,Victim of cataclysmic storm
X38,accidental,accidental,Victim of flood
X39,accidental,accidental,Exposure to other and unspecified forces of nature
X46,accidental,accidental,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours
X47,accidental,accidental,Accidental poisoning by and exposure to other gases and vapours
X48,accidental,accidental,Accidental poisoning by and exposure to pesticides
X49,accidental,accidental,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances
X50,accidental,accidental,Overexertion and strenuous or repetitive movements
X51,accidental,accidental,Travel and motion
X52,accidental,accidental,Prolonged stay in weightless environment
X53,accidental,accidental,Lack of food
X54,accidental,accidental,Lack of water
X57,accidental,accidental,Unspecified privation
X58,accidental,accidental,Exposure to other specified factors
X59,accidental,accidental,Exposure to unspecified factor
